piva,nome,tel,email,id_prodotto
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,44
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,45
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,46
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,47
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,48
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,49
IT09876543210,Amazon Italia,+390210000002,b2b@amazon.it,50
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,51
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,52
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,53
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,54
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,55
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,56
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,57
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,58
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,59
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,60
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,61
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,62
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,63
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,64
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,65
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,66
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,67
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,68
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,69
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,70
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,71
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,72
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,73
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,74
IT11122233344,Unieuro,+390210000003,fornitori@unieuro.it,75
IT55566677788,GameStop,+390210000004,business@gamestop.it,76
IT55566677788,GameStop,+390210000004,business@gamestop.it,77
IT55566677788,GameStop,+390210000004,business@gamestop.it,78
IT55566677788,GameStop,+390210000004,business@gamestop.it,79
IT55566677788,GameStop,+390210000004,business@gamestop.it,80
IT55566677788,GameStop,+390210000004,business@gamestop.it,81
IT55566677788,GameStop,+390210000004,business@gamestop.it,82
IT55566677788,GameStop,+390210000004,business@gamestop.it,83
IT55566677788,GameStop,+390210000004,business@gamestop.it,84
IT55566677788,GameStop,+390210000004,business@gamestop.it,85
IT55566677788,GameStop,+390210000004,business@gamestop.it,86
IT55566677788,GameStop,+390210000004,business@gamestop.it,87
IT55566677788,GameStop,+390210000004,business@gamestop.it,88
IT55566677788,GameStop,+390210000004,business@gamestop.it,89
IT55566677788,GameStop,+390210000004,business@gamestop.it,90
IT55566677788,GameStop,+390210000004,business@gamestop.it,91
IT55566677788,GameStop,+390210000004,business@gamestop.it,92
IT55566677788,GameStop,+390210000004,business@gamestop.it,93
IT55566677788,GameStop,+390210000004,business@gamestop.it,94
IT55566677788,GameStop,+390210000004,business@gamestop.it,95
IT55566677788,GameStop,+390210000004,business@gamestop.it,96
IT55566677788,GameStop,+390210000004,business@gamestop.it,97
IT55566677788,GameStop,+390210000004,business@gamestop.it,98
IT55566677788,GameStop,+390210000004,business@gamestop.it,99
IT55566677788,GameStop,+390210000004,business@gamestop.it,100
